source_file,sheet,company,email,phone,channel,email_ok,email_reason,phone_ok,phone_reason,city,usdot
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),"Superior Cattle Feeders, LLC",rcosta@headstartnursery.com,,,FAKE,domain_not_company:headstartnursery.com,MISSING,missing,Calipatria,1248591
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),Premier Color Nursery,,,,MISSING,missing,MISSING,missing,Fallbrook,520621
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),Dart International,dave@elderenterprises.com,,,FAKE,domain_not_company:elderenterprises.com,MISSING,missing,Corona,1780
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),Hay Connection,,,,MISSING,missing,MISSING,missing,Norco,864392
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),"Roadrunner Transportation Services, Inc",,,,MISSING,missing,MISSING,missing,Jurupa Valley,7116
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),Material Transport Services,callen@alanritchey.com,,,FAKE,domain_not_company:alanritchey.com,MISSING,missing,Orange,2815
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),Rockview Farms,kam@kamjohal.com,,,FAKE,domain_not_company:kamjohal.com,MISSING,missing,La Habra,48850
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),SterlingPacific Meat Company,jeffa@arnoldbros.com,,,FAKE,domain_not_company:arnoldbros.com,MISSING,missing,Commerce,214000
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),KYLE & KYLE RANCHES INC,,,,MISSING,missing,MISSING,missing,Lancaster,2613495
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),"Siskiyou Transportation, Inc.",chuck@chuckmillerconstruction.com,,,FAKE,domain_not_company:chuckmillerconstruction.com,MISSING,missing,,39920
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),"Sunview Vineyards of California, Inc.",matt@flyinwrench.com,,,FAKE,domain_not_company:flyinwrench.com,MISSING,missing,Bakersfield,198624
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),Jim*s Honey Farm LLC,,,,MISSING,missing,MISSING,missing,Bakersfield,834667
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),GREENFIELD TRUCKING,,,,MISSING,missing,MISSING,missing,McFarland,22417
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),"Burney Transportation, Inc.",,,,MISSING,missing,MISSING,missing,Burney,284825
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),WENDT CONSTRUCTION CO INC,info@ando-home.co.jp,,,FAKE,domain_not_company:ando-home.co.jp,MISSING,missing,Fortuna,50465
1226 NorCal CARB Mobile - Darryl Hot Leads CRM .csv,(csv),"Chambers Logging Co., Inc.",hezuo@ltd.com,,,FAKE,fake_domain:ltd.com,MISSING,missing,Fortuna,24903
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Jackson Properties (Commercial Real Estate),,,,MISSING,no_col,MISSING,missing,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Riverview International Trucks,,,,MISSING,no_col,MISSING,missing,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Kingpin Parking,,,,MISSING,no_col,MISSING,missing,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),24 Hour Recreational Storage,,,,MISSING,no_col,MISSING,missing,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),RV's of Sacramento Storage,,,,MISSING,no_col,MISSING,missing,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),AAA Secure RV & Boat Storage,,,,MISSING,no_col,MISSING,missing,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Outrig West Sacramento,,,,MISSING,no_col,MISSING,missing,West Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),Quik DMV,,,,MISSING,no_col,MISSING,missing,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),DPR Construction,,,,MISSING,no_col,MISSING,missing,Sacramento,
Partnership_Outreach_Sacramento_2026-07-05.csv,(csv),McCarthy Building Companies,,,,MISSING,no_col,MISSING,missing,Sacramento,
